,Age,Sex,Race,marital_status,Education,Employement,Incomes,how_many_books_12m,printed_books_12m,audiobooks_12m,ebooks_12m,how_did_you_get,news_or_newspapers,magazines_or_journals,printed,audiobooks,ebooks
0,66,Male,Refused,Divorced,College graduate,Retired,3. 20-29.9,97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
1,46,Male,Native American/American Indian,Married,High school graduate,Employed full-time,1. <10m,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
2,32,Male,Mixed race,Never been married,High school graduate,Employed full-time,1. <10m,97,No,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes,0,1,1
3,27,Male,Mixed race,Married,High school graduate,Employed full-time,5. 40m-49.9m,97,Yes,No,Yes,Borrowed the book from a library,Yes,No,1,0,1
4,16,Female,Mixed race,Never been married,High school incomplete,Employed part-time,2. 10-19.9,97,Yes,Yes,No,Purchased the book,Yes,No,1,1,0
5,55,Female,Asian or Pacific Islander,Divorced,"Some college, no 4-year degree",Have own business/self-employed,5. 40m-49.9m,97,Yes,Yes,Yes,Purchased the book,No,No,1,1,1
6,63,Male,Black or African-American,Widowed,"Some college, no 4-year degree",Employed full-time,5. 50-74.9,97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
7,60,Female,Black or African-American,Married,College graduate,Retired,7. 100-149.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
8,50,Female,Black or African-American,Married,Post-graduate training/professional school after college,Employed part-time,6. 75-99.9,97,Yes,No,Yes,Purchased the book,Yes,No,1,0,1
9,29,Female,Black or African-American,Never been married,High school graduate,Employed part-time,1. <10m,97,Yes,No,Yes,Borrowed the book from a friend or family member,No,No,1,0,1
10,23,Male,Black or African-American,Never been married,High school graduate,Employed part-time,7. 100-149.9,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
11,19,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,5. 50-74.9,97,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0
12,16,Female,Black or African-American,Never been married,High school graduate,Student,2. 10-19.9,97,Yes,No,Yes,Borrowed the book from a library,No,Yes,1,0,1
13,89,Female,White,Widowed,"Some college, no 4-year degree",Retired,4. 30m-39.9m,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
14,88,Female,White,Widowed,"Some college, no 4-year degree",Retired,2. 10-19.9,97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
15,84,Female,White,Widowed,"Some college, no 4-year degree",Retired,7. 100-149.9,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
16,81,Female,White,Married,"Some college, no 4-year degree",Retired,6. 75-99.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
17,80,Female,White,Widowed,Post-graduate training/professional school after college,Retired,Refused,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
18,79,Female,White,Widowed,High school graduate,Other,3. 20-29.9,97,Yes,No,No,Borrowed the book from a library,No,No,1,0,0
19,79,Male,White,Married,College graduate,Retired,5. 50-74.9,97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
20,78,Female,White,Divorced,High school graduate,Not employed for pay,2. 10-19.9,97,Yes,No,No,Borrowed the book from a library,No,No,1,0,0
21,78,Male,White,Married,College graduate,Retired,7. 100-149.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
22,78,Female,White,Widowed,"Technical, trade or vocational school AFTER high school",Retired,2. 10-19.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
23,77,Female,White,Married,High school graduate,Not employed for pay,Refused,97,Yes,No,Yes,Purchased the book,No,No,1,0,1
24,76,Female,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
25,75,Female,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
26,73,Male,White,Married,Post-graduate training/professional school after college,Have own business/self-employed,7. 100-149.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
27,73,Male,White,Widowed,Post-graduate training/professional school after college,Retired,Refused,97,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0
28,73,Female,White,Married,College graduate,Not employed for pay,5. 50-74.9,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1
29,71,Female,White,Divorced,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
30,70,Male,White,Married,Post-graduate training/professional school after college,Retired,6. 75-99.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
31,70,Male,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
32,69,Female,White,Married,College graduate,Retired,6. 75-99.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
33,69,Female,White,Widowed,"Some college, no 4-year degree",Retired,1. <10m,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
34,69,Female,White,Don’t know,Post-graduate training/professional school after college,Retired,Refused,97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
35,68,Female,White,Married,High school graduate,Employed part-time,4. 30m-39.9m,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
36,68,Female,White,Divorced,High school graduate,Retired,3. 20-29.9,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
37,67,Male,White,Married,"Some college, no 4-year degree",Retired,Refused,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
38,67,Female,White,Widowed,"Some college, no 4-year degree",Retired,4. 30m-39.9m,97,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0
39,67,Female,White,Married,High school incomplete,Retired,6. 75-99.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
40,66,Female,White,Married,"Some college, no 4-year degree",Retired,5. 50-74.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
41,66,Female,White,Divorced,Post-graduate training/professional school after college,Retired,3. 20-29.9,97,Yes,No,No,Purchased the book,Yes,No,1,0,0
42,66,Female,White,Married,College graduate,Retired,7. 100-149.9,97,Yes,No,Don’t know,Purchased the book,No,No,1,0,0
43,66,Female,White,Married,College graduate,Retired,7. 100-149.9,97,Yes,No,Yes,Borrowed the book from a library,Yes,No,1,0,1
44,65,Female,White,Married,Post-graduate training/professional school after college,Retired,3. 20-29.9,97,Yes,No,No,Purchased the book,No,No,1,0,0
45,65,Male,White,Married,Post-graduate training/professional school after college,Retired,4. 30m-39.9m,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
46,65,Female,White,Divorced,College graduate,Retired,2. 10-19.9,97,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0
47,65,Female,White,Widowed,"Some college, no 4-year degree",Retired,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
48,65,Female,White,Divorced,College graduate,Employed full-time,6. 75-99.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
